,FP,TC,Importe,IVA,RET ISR,RET IVA,Otros
278,99.0,1.0,350.0,0.0,0.0,0.0,
279,44.0,1.0,0.0,0.0,0.0,0.0,
280,3.0,1.0,1521.5,0.0,0.0,0.0,
281,99.0,1.0,8394.04,176.8,0.0,0.0,
282,99.0,1.0,1521.5,176.8,0.0,0.0,
283,44.0,1.0,0.0,0.0,0.0,0.0,
284,99.0,1.0,2111.39,337.82,0.0,0.0,
285,3.0,1.0,2187.32,349.97,0.0,0.0,
286,99.0,1.0,3072.96,491.67,0.0,0.0,
287,99.0,1.0,7695.0,176.8,0.0,0.0,
288,99.0,1.0,360.0,57.6,0.0,0.0,
289,1.0,1.0,656.03,104.96,0.0,0.0,
290,3.0,1.0,1521.5,176.8,0.0,0.0,
291,99.0,1.0,1521.5,176.8,0.0,0.0,
292,1.0,1.0,79.31,12.69,0.0,0.0,
293,1.0,1.0,1563.89,250.22,0.0,0.0,
294,1.0,1.0,264.0,0.0,0.0,0.0,
295,1.0,1.0,114.74,18.36,0.0,0.0,
296,3.0,1.0,1521.5,48.0,0.0,0.0,
297,44.0,1.0,0.0,0.0,0.0,0.0,
298,3.0,1.0,1809.0,289.44,0.0,0.0,
299,44.0,1.0,0.0,0.0,0.0,0.0,
300,1.0,1.0,379.31,60.69,0.0,0.0,
301,44.0,1.0,0.0,0.0,0.0,0.0,
302,1.0,1.0,231.9,37.1,0.0,0.0,
303,1.0,1.0,84.48,13.52,0.0,0.0,
304,28.0,1.0,140.52,22.48,0.0,0.0,
305,1.0,1.0,458.02,73.28,0.0,0.0,
306,3.0,1.0,1450.0,232.0,0.0,0.0,
307,99.0,1.0,1521.5,176.8,0.0,0.0,
308,1.0,1.0,85.34,13.66,0.0,0.0,
309,3.0,1.0,1521.5,0.0,0.0,0.0,
310,99.0,1.0,741.16,118.59,0.0,0.0,
311,99.0,1.0,2000.0,320.0,0.0,0.0,
312,3.0,1.0,1521.5,176.8,0.0,0.0,
313,99.0,1.0,5373.5,859.76,0.0,0.0,
314,3.0,1.0,2292.01,366.72,0.0,0.0,
315,99.0,1.0,2065.8,330.53,0.0,0.0,
316,99.0,1.0,5490.76,878.52,0.0,0.0,
317,99.0,1.0,1521.5,176.8,0.0,0.0,
318,3.0,1.0,1471.0,235.36,0.0,0.0,
319,4.0,1.0,1268.9,0.0,0.0,0.0,
320,4.0,1.0,356.5,0.0,0.0,0.0,
321,28.0,1.0,1164.14,186.26,0.0,0.0,
322,99.0,1.0,6324.0,1011.84,0.0,0.0,
323,99.0,1.0,2394.0,383.04,0.0,0.0,
324,99.0,1.0,560.35,89.66,0.0,0.0,
325,99.0,1.0,1024.31,163.89,0.0,0.0,
326,3.0,1.0,2778.59,444.57,0.0,0.0,
327,99.0,1.0,1521.5,176.8,0.0,0.0,
328,99.0,1.0,2706.19,432.96,0.0,0.0,
329,99.0,1.0,320.0,51.2,0.0,0.0,
330,44.0,1.0,0.0,0.0,0.0,0.0,
331,4.0,1.0,475.28000000000003,56.37,0.0,0.0,
332,3.0,1.0,1540.0,246.4,0.0,0.0,
333,99.0,1.0,1986.92,317.91,0.0,0.0,
334,99.0,1.0,1100.0,176.0,0.0,0.0,
335,4.0,1.0,2053.4900000000002,76.19,0.0,0.0,
336,3.0,1.0,3217.0,0.0,0.0,0.0,
337,44.0,1.0,0.0,0.0,0.0,0.0,
338,3.0,1.0,1643.63,262.98,0.0,0.0,
339,1.0,1.0,56.03,8.97,0.0,0.0,
340,1.0,1.0,650.0,104.0,0.0,0.0,
341,99.0,1.0,3974.23,635.89,0.0,0.0,
342,99.0,1.0,4464.39,714.3,0.0,0.0,
343,3.0,1.0,3750.0,600.0,0.0,0.0,
344,44.0,1.0,0.0,0.0,0.0,0.0,
345,99.0,1.0,1521.5,176.8,0.0,0.0,
346,99.0,1.0,2850.0,456.0,0.0,0.0,
347,99.0,1.0,8400.0,176.8,0.0,0.0,
348,1.0,1.0,87.93,14.07,0.0,0.0,
349,1.0,1.0,342.67,54.83,0.0,0.0,
350,3.0,1.0,8040.23,176.8,0.0,0.0,
351,99.0,1.0,1680.0,268.8,0.0,0.0,
352,3.0,1.0,1521.5,0.0,0.0,0.0,
353,99.0,1.0,1889.8,302.37,0.0,0.0,
354,3.0,1.0,2309.43,369.51,0.0,0.0,
355,44.0,1.0,0.0,0.0,0.0,0.0,
356,44.0,1.0,0.0,0.0,0.0,0.0,
357,1.0,1.0,62.07,9.93,0.0,0.0,
358,1.0,1.0,539.23,86.28,0.0,0.0,
359,28.0,1.0,273.28,43.72,0.0,0.0,
360,1.0,1.0,214.66,34.35,0.0,0.0,
361,99.0,1.0,785.0,125.6,0.0,0.0,
362,1.0,1.0,295.04,47.21,0.0,0.0,
363,99.0,1.0,1968.79,315.01,0.0,0.0,
364,1.0,1.0,289.8,46.37,0.0,0.0,
365,3.0,1.0,2887.0,461.92,0.0,0.0,
366,99.0,1.0,5000.0,800.0,0.0,0.0,
367,3.0,1.0,1171.92,187.51,0.0,0.0,
368,44.0,1.0,0.0,0.0,0.0,0.0,
369,1.0,1.0,980.0,156.8,0.0,0.0,
370,1.0,1.0,335.0,53.6,0.0,0.0,
371,44.0,1.0,0.0,0.0,0.0,0.0,
372,44.0,1.0,0.0,0.0,0.0,0.0,
373,99.0,1.0,1521.5,176.8,0.0,0.0,
374,28.0,1.0,344.82,55.17,0.0,0.0,
375,3.0,1.0,3265.0,522.4,0.0,0.0,
376,99.0,1.0,1521.5,176.8,0.0,0.0,
377,99.0,1.0,560.35,89.66,0.0,0.0,
378,99.0,1.0,1005.0,160.8,0.0,0.0,
379,99.0,1.0,185.0,29.6,0.0,0.0,
380,3.0,1.0,135.0,21.6,0.0,0.0,
381,99.0,1.0,7200.05,176.8,0.0,0.0,
382,3.0,1.0,2887.0,461.92,0.0,0.0,
383,3.0,1.0,5858.99,937.44,0.0,0.0,
384,1.0,1.0,780.0,124.8,0.0,0.0,
385,3.0,1.0,2381.38,381.02,0.0,0.0,
386,3.0,1.0,1042.0,166.72,0.0,0.0,
387,99.0,1.0,1150.0,184.0,0.0,0.0,
388,3.0,1.0,1521.5,176.8,0.0,0.0,
389,1.0,1.0,216.0,34.56,0.0,0.0,
390,1.0,1.0,142.16,22.75,0.0,0.0,
391,99.0,1.0,1596.01,255.36,0.0,0.0,
392,3.0,1.0,0.0,0.0,0.0,0.0,
393,1.0,1.0,220.0,0.0,0.0,0.0,
394,3.0,1.0,1521.5,682.4,0.0,0.0,
395,5.0,1.0,1521.5,0.0,0.0,0.0,
396,44.0,1.0,0.0,0.0,0.0,0.0,
